ID,Title,Region,Media_ID,Box_ID,Genre,Released
0184,The HD Adventures of Rotating Octopus Character,EU,PCSB-00329,,Action » Platformer » 2D,2013-05-29
0185,PlayStation All-Stars Battle Royale,EU,PCSF-00153,,Action » Fighting » 2D,2012-11-23
0185,Kidou Senshi Gundam: Battle Operation Support Application,JP,PCSG-00191,,Miscellaneous » General,2013-05-30
0186,Zero Escape: Virtue's Last Reward,EU,PCSB-00205,,Adventure » General,2012-11-23
0186,LIMBO,US,PCSE-00268,,Action » Platformer » 2D,2013-06-04
0187,One Piece: Kaizoku Musou 2,Unknown,PCSH-00034,VLAS-38030,Action » Beat-'Em-Up,2013-05-02
0187,Quell Memento,US,PCSE-00143,,Miscellaneous » Puzzle,2013-06-04
0188,Totori no Atelier Plus: Arland no Renkinjutsushi 2,JP,PCSG-00127,VLJM-35023,Role-Playing » General,2012-11-29
0188,LIMBO,EU,PCSB-00336,,Action » Platformer » 2D,2013-06-05
0189,Fate/Stay Night [Realta Nua],JP,PCSG-00122,VLJM-35022,Adventure » General,2012-11-29
0189,Coconut Dodge Revitalised,EU,PCSB-00303,,Miscellaneous » Puzzle,2013-06-05
0190,DJ Max Technika Tune,US,PCSE-00208,,Miscellaneous » Rhythm,2012-12-07
0190,Ratchet & Clank: Ginga Sentai QForce,JP,PCSC-00041,,Action » Fighting » 3D,2013-06-06
0191,Sonic & All-Stars Racing Transformed,EU,PCSB-00190,,Driving » Racing,2012-12-07
0191,Flying Hamster HD,US,PCSE-00257,,Action » Shooter » Third-Person,2013-06-11
0192,Jikkyou Powerful Pro Yakyuu 2012 Ketteiban,JP,PCSG-00134,VLJM-35024,Sports » Traditional » Baseball,2012-12-13
0192,Spheroids,JP,PCSG-01041,,Action » Platformer » 2D,2018-03-28
0193,Spy Hunter,JP,PCSG-00128,VLJM-30028,Driving » General,2012-12-13
0193,LIMBO,JP,PCSG-00208,,Action » Platformer » 2D,2013-06-18
